id,filename,doc_type,original_path,cause,detail,native_chars,image_size,tesseract_chars,tesseract_conf
3515,MOD 00 - APPLICATION SB.pdf,SB,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Title Engines\MSN 2158 ~ Engines ~ Up To Jan 2014\ESN 575739\ESN 575739 ~ SV Report ~ May 2011\Engine\05\BOX\MOD 00 - APPLICATION SB.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1848 caractères, conf=31.6% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3289x4739,1848,31.6
359,291000-14-1-01.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\BV-ES000593\JOB CARD\291000-14-1-01.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 890 caractères, conf=79.3% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,890,79.3
2203,TS-INQ_Old doc_AD_AD DFPs_2002-057(2005-3064).pdf,AD,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\AD\AD DFPs\TS-INQ_Old doc_AD_AD DFPs_2002-057(2005-3064).pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 46 caractères, conf=90.7% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3307x4676,46,90.7
449,RCT ES000754.pdf,RCT,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\ES000754\RCT\RCT ES000754.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 278 caractères, conf=56.1% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,278,56.1
51,281100-04-2-01.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\BV-ES000545\JOB CARD\281100-04-2-01.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 936 caractères, conf=75.6% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,936,75.6
366,321000-LBT1-01.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\BV-ES000593\JOB CARD\321000-LBT1-01.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 846 caractères, conf=75.0% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,846,75.0
46,261300-01-1-01.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\BV-ES000545\JOB CARD\261300-01-1-01.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 793 caractères, conf=75.0% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,793,75.0
3562,MOD 32 (2).pdf,SPECS,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Title Engines\MSN 2158 ~ Engines ~ Up To Jan 2014\ESN 575739\ESN 575739 ~ SV Report ~ May 2011\Engine\05\BOX\MOD 32 (2).pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1868 caractères, conf=65.6% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3289x4728,1868,65.6
2670,TS-INQ_Old doc_Components_Air Arabia_Components_OCCM_ATA 49.pdf,CERTIFICATE,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Components\Air Arabia\Components\OCCM\TS-INQ_Old doc_Components_Air Arabia_Components_OCCM_ATA 49.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 702 caractères, conf=77.1% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,4676x3307,702,77.1
6,NO_0011080.pdf,ATL,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\ATL\16-9-2014\NO_0011080.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1958 caractères, conf=72.0% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,4678x3306,1958,72.0
3748,TS-INQ_Old doc_Mods_Part 21 and Local Mods Air Arabia_GA29-1014G9L.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Mods\Part 21 and Local Mods Air Arabia\TS-INQ_Old doc_Mods_Part 21 and Local Mods Air Arabia_GA29-1014G9L.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1167 caractères, conf=71.7% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3307x4676,1167,71.7
3200,779302 Mexicana Non-Incident Statement.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Lease Engines\779302\779302 File 07 - Mexicana Lease Return - October 2010\779302 Mexicana Non-Incident Statement.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1285 caractères, conf=91.3% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3400x4400,1285,91.3
3201,779302 Mexicana Ownership Placard Installation Workcard.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Lease Engines\779302\779302 File 07 - Mexicana Lease Return - October 2010\779302 Mexicana Ownership Placard Installation Workcard.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 933 caractères, conf=72.8% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3400x4400,933,72.8
2202,TS-INQ_CHECK C_ES001440_TS-INQ_CHECK C_ES001440_RCT-ES001440.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\CHECK C\ES001440\TS-INQ_CHECK C_ES001440_TS-INQ_CHECK C_ES001440_RCT-ES001440.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1758 caractères, conf=86.4% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,1758,86.4
3021,697519 Air France Transfer Report.pdf,SPECS,"C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Lease Engines\697519\697519 File 11 - Air France WO# 60819268 (Repair Order SER004596) - July 8, 2008\697519 Air France Transfer Report.pdf",B_OK_MAIS_FAIBLE,"Tesseract extrait 1635 caractères, conf=88.0% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3400x4400,1635,88.0
2065,TS-INP_D&B chart_R003.pdf,DB_CHART,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INP\D&B chart\TS-INP_D&B chart_R003.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1896 caractères, conf=75.6% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3300x4656,1896,75.6
2590,TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 25_ELT 406 SN 072C-252.pdf,CERTIFICATE,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Components\Air Arabia\Components\HT Certificates\ATA 25\TS-INQ_Old doc_Components_Air Arabia_Components_HT Certificates_ATA 25_ELT 406 SN 072C-252.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 281 caractères, conf=49.9% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3307x4676,281,49.9
3072,697519 QEC Inventory Kit List.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Lease Engines\697519\697519 File 14 - QEC Kit SN 9088002 Information - October 2007\697519 QEC Inventory Kit List.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 115 caractères, conf=56.3% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3400x4400,115,56.3
2767,TS-INQ_Old doc_Components_MSN 2158 HT Certs_ATA 25 Slide raft SN A6102.pdf,CERTIFICATE,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Components\MSN 2158 HT Certs\TS-INQ_Old doc_Components_MSN 2158 HT Certs_ATA 25 Slide raft SN A6102.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 2772 caractères, conf=83.5% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,4662x3299,2772,83.5
3071,697519 QEC Prep Kit List.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Lease Engines\697519\697519 File 14 - QEC Kit SN 9088002 Information - October 2007\697519 QEC Prep Kit List.pdf,B_TESSERACT_AUCUN_TEXTE,Image obtenue (3400x4400) mais Tesseract n'extrait aucun caractère avec confiance > 0,0,3400x4400,0,0.0
